datetime,open,high,low,close,volume,kline_status,raw_fractal,candidate_display,valid_fractal
2025-04-30,42.68,42.68,41.75,41.88,20056652.0,TREND_DOWN_(M),BOTTOM,Tc,
2025-05-06,42.25,42.92,42.24,42.92,15996934.0,TREND_UP,,Bc,
2025-05-08,43.48,43.8,42.6,42.86,15878412.0,TREND_UP_(M),TOP,,
2025-05-09,42.9,42.9,41.89,42.2,10209379.0,TREND_DOWN,BOTTOM,Tc,
2025-05-12,42.5,42.99,42.18,42.76,12380218.0,TREND_UP,,Bc,
2025-05-14,43.09,44.04,42.69,43.21,16305750.0,TREND_UP_(M),TOP,,
2025-05-16,43.1,43.1,41.45,41.75,14200645.0,TREND_DOWN_(M),,Tc,
2025-05-20,41.66,41.88,41.08,41.57,6949400.0,TREND_DOWN_(M),BOTTOM,,
2025-05-21,41.76,43.25,41.64,42.42,17310457.0,TREND_UP,,Bc,
2025-05-26,42.42,44.85,42.42,42.99,33737949.0,TREND_UP_(M),TOP,,
2025-05-27,42.8,42.99,41.93,42.22,10191293.0,TREND_DOWN,,Tc,
2025-05-28,42.15,42.37,41.1,41.11,11477483.0,TREND_DOWN,,,
2025-06-03,41.1,41.85,40.7,41.71,10204647.0,TREND_DOWN_(M),BOTTOM,,
2025-06-09,41.65,42.66,41.65,42.42,7334624.000000001,TREND_UP_(M),TOP,Bc,
2025-06-12,42.42,42.42,41.0,41.07,11367100.0,TREND_DOWN_(M),,Tc,
2025-06-13,40.98,41.38,40.27,41.03,9451160.0,TREND_DOWN,BOTTOM,,
2025-06-16,40.91,41.47,40.71,41.08,5510785.0,TREND_UP,,Bc,
2025-06-23,41.08,42.95,40.83,42.46,6681786.0,TREND_UP_(M),,,
2025-06-25,42.47,44.16,42.42,43.97,14950730.0,TREND_UP_(M),,,
2025-06-26,46.16,46.65,44.64,44.79,42256606.0,TREND_UP,TOP,,
2025-06-27,45.0,45.38,44.4,44.41,21298104.0,TREND_DOWN,BOTTOM,Tc,
2025-07-01,44.86,45.45,44.68,45.01,16077261.0,TREND_UP_(M),TOP,Bc,
2025-07-03,44.81,44.81,43.75,44.55,13834670.0,TREND_DOWN_(M),BOTTOM,Tc,
2025-07-07,44.55,45.63,44.55,44.87,18091126.0,TREND_UP_(M),TOP,Bc,
2025-07-08,44.88,45.46,44.45,45.0,17547800.0,TREND_DOWN,,Tc,
2025-07-09,44.9,44.96,43.82,44.0,18814174.0,TREND_DOWN,,,
2025-07-11,43.89,44.37,43.12,44.37,11891837.0,TREND_DOWN_(M),BOTTOM,,
2025-07-16,44.17,44.86,43.94,44.42,8654125.0,TREND_UP_(M),,Bc,
2025-07-17,44.31,44.97,44.02,44.89,13785971.0,TREND_UP,,,
2025-07-21,44.66,45.0,44.2,44.38,14773942.0,TREND_UP_(M),TOP,,
2025-07-22,43.83,44.36,42.71,43.92,24759097.0,TREND_DOWN,BOTTOM,Tc,
2025-07-23,43.96,45.3,43.94,45.02,33686996.0,TREND_UP,,Bc,
2025-07-24,45.16,45.68,44.75,45.13,23371160.0,TREND_UP,TOP,,
2025-07-25,45.13,45.4,44.61,45.31,17508761.0,TREND_DOWN,BOTTOM,Tc,
2025-07-28,45.58,45.69,44.89,45.09,15223720.0,TREND_UP,TOP,Bc,
2025-07-29,44.83,45.23,44.69,45.05,13459781.0,TREND_DOWN,,Tc,
2025-07-30,44.9,45.15,44.03,44.34,15381000.0,TREND_DOWN,,,
2025-07-31,44.26,44.76,43.25,43.44,16492737.0,TREND_DOWN,,,
2025-08-01,43.5,44.28,43.12,43.68,13421970.0,TREND_DOWN,BOTTOM,,
2025-08-05,43.55,44.44,43.55,44.04,11331107.0,TREND_UP_(M),,Bc,
2025-08-06,44.0,44.65,43.72,44.46,11492640.0,TREND_UP,,,
2025-08-07,44.55,45.21,44.26,44.68,20056362.0,TREND_UP,TOP,,
2025-08-12,44.66,44.7,43.66,44.7,13210475.0,TREND_DOWN_(M),BOTTOM,Tc,
2025-08-13,44.67,45.46,44.48,45.33,25310641.0,TREND_UP,,Bc,
2025-08-14,45.51,46.18,44.65,44.84,26203279.0,TREND_UP,TOP,,
2025-08-15,44.64,45.82,44.62,45.64,22265460.0,TREND_DOWN,BOTTOM,Tc,
2025-08-22,45.98,51.9,45.98,51.15,58091392.00000001,TREND_UP_(M),,Bc,
2025-08-25,52.0,54.39,50.63,51.31,53755778.0,TREND_UP,TOP,,
